Wavelength [nm],led.RAW8,peaks.RAW8,sodium.RAW8
394.452,-4,8.199999809,-2.599999905
394.529,9.199999809,-7.599999905,5.599999905
394.606,33.20000076,16.39999962,-5.199999809
394.682,-23.79999924,24,-13.39999962
394.759,-8.399999619,-15.60000038,-1.399999976
394.836,25,26,-11.80000019
394.913,-10.80000019,18.39999962,-10
394.990,2,46.20000076,-11
395.066,-21.60000038,-23.79999924,-20.79999924
395.143,-8,19,-11.80000019
395.220,-28.60000038,-12.19999981,-11.80000019
395.297,-7.199999809,20.39999962,-31
395.373,-5.400000095,39,4.800000191
395.450,25,21.60000038,-10.80000019
395.527,4.800000191,-6.800000191,-7.400000095
395.603,15.80000019,31.20000076,-4.599999905
395.680,5.800000191,28,-19
395.757,47.20000076,54.40000153,-3.599999905
395.834,-4.599999905,15,-29.39999962
395.910,2.400000095,0.800000012,-29.20000076
395.987,-21.20000076,1.200000048,19.60000038
396.064,15.39999962,41.20000076,1.399999976
396.140,-1.200000048,19.79999924,36.20000076
396.217,17.39999962,21.20000076,-30
396.294,-10.80000019,39.40000153,1.799999952
396.370,22.39999962,12.19999981,40.59999847
396.447,9,-12,-13
396.524,19.20000076,15.60000038,-24
396.600,2.400000095,-6.400000095,-9.399999619
396.677,11,31,-4.599999905
396.754,-5.599999905,35,-21.39999962
396.830,13.39999962,28.20000076,24.39999962
396.907,-24,18.39999962,-22
396.984,33.79999924,45.79999924,18.79999924
397.060,-13.60000038,6.400000095,-12.60000038
397.137,-0.600000024,31.79999924,-17.60000038
397.214,-2.599999905,30,14.39999962
397.290,8.199999809,12.19999981,-28.39999962
397.367,26.20000076,39.59999847,-3.400000095
397.444,-21.39999962,15.19999981,-6.800000191
397.520,5,-5.800000191,-2.799999952
397.597,39.20000076,22,17.60000038
397.673,-34.59999847,33.20000076,-13.60000038
397.750,31.79999924,40.20000076,-6.599999905
397.827,13.80000019,13.39999962,-9
397.903,0.800000012,15.60000038,-30.60000038
397.980,13.60000038,-9,-6
398.056,-13,36.79999924,6.199999809
398.133,24.60000038,24,-5.400000095
398.209,13.39999962,25,-4
398.286,13,-8.199999809,-12.80000019
398.363,-0.200000003,6.199999809,-2.599999905
398.439,-1.799999952,-7,20.20000076
398.516,-13.19999981,9.800000191,-14.80000019
398.592,6.400000095,16.60000038,1.799999952
398.669,3.599999905,-12.39999962,-8.399999619
398.745,7.199999809,-28.20000076,-3
398.822,30,38.20000076,-22.60000038
398.898,12.19999981,9.399999619,-0.800000012
398.975,10.39999962,11,8.800000191
399.052,5.800000191,6.199999809,-13.80000019
399.128,7.400000095,44.79999924,26.20000076
399.205,2.200000048,-4.800000191,0
399.281,18.39999962,27.60000038,5.199999809
399.358,-2.599999905,-2.400000095,-0.400000006
399.434,3.400000095,12.80000019,7.199999809
399.511,-24.79999924,1.399999976,5.800000191
399.587,31.60000038,37.20000076,11.19999981
399.664,-3.200000048,56,10.19999981
399.740,3.799999952,17.39999962,3.799999952
399.817,11.60000038,8,5.599999905
399.893,4.400000095,2.799999952,-5.400000095
399.970,14.60000038,-9,6.599999905
400.046,9.800000191,13.39999962,-25
400.122,-7.800000191,-8.399999619,-13.39999962
400.199,33.59999847,36,12.19999981
400.275,0,-2.400000095,14.39999962
