Wavelength [nm],spectra
435.351,0.902490085
435.425,0.947155737
435.500,0.849103162
435.575,0.954242507
435.650,0.876527648
435.725,0.916584877
435.800,0.911831205
435.875,0.889007696
435.950,0.896305959
436.025,0.870525508
436.100,0.907087973
436.175,0.952123081
436.250,0.914541965
436.325,0.89580823
436.400,0.948029874
436.475,0.94170914
436.550,0.890567381
436.625,0.925282905
436.700,0.909235764
436.775,0.973746872
436.849,0.884297934
436.924,0.890456911
436.999,0.927200058
437.074,0.925932596
437.149,0.927869752
437.224,0.966444225
437.299,0.907651814
437.374,0.926797947
437.448,0.89066332
437.523,0.934424721
437.598,0.869520048
437.673,0.887200479
437.748,0.928763385
437.823,0.928230532
437.898,0.887903316
437.972,0.922159327
438.047,0.924168744
438.122,0.887535329
438.197,0.883017976
438.272,0.916971272
438.346,0.899484339
438.421,0.90950367
438.496,0.898240261
438.571,0.932310189
438.646,0.940929757
438.720,0.997312407
438.795,0.92136317
438.870,0.946124617
438.945,0.935860482
439.020,0.96334089
439.094,0.936674756
439.169,0.971265691
439.244,0.932547109
439.319,0.937437264
439.393,0.887966824
439.468,0.91191607
439.543,0.919919634
439.617,0.903400085
439.692,0.876641023
439.767,0.92823733
439.842,0.907064298
439.916,0.893189549
439.991,0.923857502
440.066,0.987066902
440.140,0.922102117
440.215,0.927830785
440.290,0.95270692
440.365,0.897062579
440.439,0.881075149
440.514,0.960321657
440.589,0.973589015
440.663,0.941034329
440.738,0.908525678
440.812,0.90073608
440.887,0.927425689
440.962,0.970420829
441.036,0.913489468
441.111,0.915207253
441.186,0.866179674
441.260,0.938047183
441.335,0.918329952
441.410,0.930755305
441.484,0.880583805
441.559,0.893607196
441.633,0.924677736
441.708,0.926658986
441.782,0.924714325
441.857,0.936421911
441.932,0.879677499
442.006,0.920779314
442.081,0.895050022
442.155,0.904949921
442.230,0.910945347
442.304,0.935914659
442.379,0.907051313
442.454,0.904315405
442.528,0.939998301
442.603,0.978693306
442.677,0.874766924
442.752,0.899058342
442.826,0.942068872
442.901,0.944097942
442.975,0.930758351
443.050,0.914962919
443.124,0.946754486
443.199,0.947406613
443.273,0.917373181
443.348,0.881017843
443.422,0.873138441
443.497,0.920986293
443.571,0.883497807
443.646,0.923726834
443.720,0.940459763
443.795,0.891256868
443.869,0.913306464
443.943,0.91995791
444.018,0.915503486
444.092,0.912834454
444.167,0.854461395
444.241,0.952589136
444.316,0.934842627
444.390,0.920837213
444.464,0.885427606
444.539,0.948125583
444.613,0.904252904
444.688,0.968197672
444.762,0.936682028
444.836,0.922400391
444.911,0.91617695
444.985,0.878172469
445.060,0.963978175
445.134,0.922125744
445.208,0.91851605
445.283,0.958612446
445.357,0.899037441
445.431,0.960961883
445.506,0.930037457
445.580,0.90853471
445.654,0.89283257
445.729,0.966664033
445.803,0.957542115
445.877,0.972527706
445.952,0.939240253
446.026,0.92115163
446.100,0.944396552
446.175,0.958688767
446.249,0.945540907
446.323,0.925237525
446.398,0.899272613
446.472,0.974155848
446.546,0.867954963
446.620,0.963207814
446.695,0.938517507
446.769,0.927887314
446.843,0.90907406
446.917,0.907609219
446.992,0.94958079
447.066,0.93647626
447.140,0.917441596
447.214,0.933828857
447.289,0.944799129
447.363,0.955772613
447.437,0.9350928
447.511,0.918951525
447.586,0.925282363
447.660,0.918084127
447.734,0.961595237
447.808,0.929004455
447.882,0.944681579
447.957,0.983903173
448.031,0.926329726
448.105,0.917529996
448.179,0.909682386
448.253,0.926359832
448.327,0.904209013
448.402,0.901792937
448.476,0.91235993
448.550,0.874839343
448.624,0.912552845
448.698,0.922978026
448.772,0.973572939
448.846,0.924069557
448.921,0.90966169
448.995,0.955595872
449.069,0.927634168
449.143,0.946046071
449.217,0.953586968
449.291,0.917168746
449.365,0.96783912
449.439,0.953972239
449.513,0.916009201
449.588,0.921529515
449.662,0.932075824
449.736,0.916903095
449.810,0.928148006
449.884,0.910001415
449.958,0.935875013
450.032,0.92900889
450.106,0.936900734
450.180,0.898357343
450.254,0.951867346
450.328,0.94687377
450.402,0.897152273
450.476,0.91560968
450.550,0.905713818
450.624,0.956592649
450.698,0.947836312
450.772,0.957714278
450.846,0.899266346
450.920,0.975487205
450.994,0.886080907
451.068,0.937852091
451.142,0.908449508
451.216,0.940989341
451.290,0.923191708
451.364,0.954668861
451.438,0.939431845
451.512,0.990603837
451.586,0.92681271
451.660,0.923466679
451.734,0.898098625
451.808,0.982906614
451.882,0.889863762
451.956,0.966260812
452.029,0.944585474
452.103,0.923599841
452.177,0.948072072
452.251,0.936350227
452.325,0.933684603
452.399,0.945609535
452.473,0.924648792
452.547,0.893643964
452.621,0.917207875
452.695,0.930855797
452.768,0.928018589
452.842,0.914914985
452.916,0.947173892
452.990,0.962423879
453.064,0.966351502
453.138,0.9200628
453.212,0.889682828
453.285,0.923211751
453.359,0.924155923
453.433,0.958575776
453.507,0.913893263
453.581,0.959257332
453.654,0.957092687
453.728,0.930040357
453.802,0.893634833
453.876,0.964986491
453.950,0.941546436
454.023,0.978355967
454.097,0.939862525
454.171,0.971125605
454.245,0.954837228
454.319,0.991817216
454.392,0.913367005
454.466,0.94348677
454.540,0.969167841
454.614,0.981583393
454.687,0.907503
454.761,0.933688916
454.835,0.937961456
454.909,0.948119028
454.982,0.919908446
455.056,0.90710012
455.130,0.92073711
455.203,0.962024636
455.277,0.947982962
455.351,0.947700461
455.425,0.964745357
455.498,0.911749807
455.572,0.920929892
455.646,0.9525273
455.719,0.966353381
455.793,0.946188755
455.867,0.913996608
455.940,0.935711052
456.014,0.94777335
456.088,0.897495732
456.161,0.944924974
456.235,0.941478459
456.308,0.910406326
456.382,0.952235015
456.456,0.960638713
456.529,1.001268561
456.603,0.930353945
456.677,0.954098582
456.750,0.921963139
456.824,0.977173573
456.897,0.955814745
456.971,0.9723447
457.045,0.954195564
457.118,0.974773797
457.192,0.946630875
457.265,0.941548237
457.339,0.932292622
457.412,0.928812916
457.486,0.940787144
457.560,0.99567432
457.633,0.912227535
457.707,0.997076675
457.780,0.967526395
457.854,0.98420253
457.927,0.934813956
458.001,0.950154163
458.074,0.958454902
458.148,0.957323098
458.221,0.934727931
458.295,0.93919416
458.368,0.975580244
458.442,0.933969854
458.515,0.905515861
458.589,0.944060205
458.662,0.919493861
458.736,0.940862345
458.809,0.967757323
458.883,0.985071345
458.956,0.917319043
459.030,0.990604864
459.103,0.938476911
459.176,0.979618805
459.250,0.926302412
459.323,0.959172723
459.397,0.987203422
459.470,0.947397727
459.544,0.960478188
459.617,0.944613095
